Facility Name,Location Type,Operator,Status,Open,Hours of Operation,Accessibility,Restroom Type,Changing Stations,Additional Notes,Website,Latitude,Longitude,Location
Hudson River Park Pier 51,Park,Hudson River Park,Operational,Year Round,7:30am - 8pm,Fully Accessible,,,,,40.737997,-74.010384,POINT (-74.010384 40.737997)
Bathgate Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,,,,,40.840512,-73.897758,POINT (-73.897758 40.840512)
Detective William T. Gunn Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.732288,-73.731697,POINT (-73.731697 40.732288)
Calvert Vaux Park Zone 2,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.58528,-73.992002,POINT (-73.992002 40.58528)
Moynihan Connector,Park,Friends of the High Line,Operational,Year Round,,,,,,,40.752417,-73.99929,POINT (-73.99929 40.752417)
Tavern On The Green,Park,NYC Parks Concessionaire,Operational,Year Round,"8am-4pm, Open later seasonally",,,,,,40.772206,-73.977781,POINT (-73.977781 40.772206)
Washington Square Park Western Half,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,,,,40.73075,-73.998309,POINT (-73.998309 40.73075)
Police Officer Nicholas Demutiis Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.681843,-73.839676,POINT (-73.839676 40.681843)
Willis Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.811357,-73.922689,POINT (-73.922689 40.811357)
Montbellier Park,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.67402,-73.756407,POINT (-73.756407 40.67402)
Playground For All Children,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.848472,-73.825274,POINT (-73.825274 40.848472)
"Roosevelt Island Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 8:00 pm 
Tuesday: 10:00 am - 6:00 pm
Wednesday: 10:00 am - 8:00 pm
Thursday: 10:00 am - 6:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/roosevelt-island,40.762333,-73.949446,POINT (-73.949446 40.762333)
"Gravesend Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/gravesend,40.590553,-73.97181,POINT (-73.97181 40.590553)
South Rochdale Playground,Park,NYC Parks,Not Operational,,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.67405,-73.768934,POINT (-73.768934 40.67405)
Van Cortlandt Golf Course,Park,NYC Parks Concessionaire,Not Operational,Year Round,Concession Operating Hours,,,,,,40.896614,-73.887601,POINT (-73.887601 40.896614)
Corona Plaza APT,Public Plaza,NYC DOT/JCDeceaux,Operational,Year Round,8am-8pm,Fully Accessible,Single-Stall All Gender Restroom(s),No,This unit costs $.25 to use.,https://portal.311.nyc.gov/article/?kanumber=KA-02226,40.74965,-73.862638,POINT (-73.862638 40.74965)
Bensonhurst Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,,,,40.597869,-74.000003,POINT (-74.000003 40.597869)
Inwood Hill Park Zone 1,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.870299,-73.921423,POINT (-73.921423 40.870299)
"Mill Basin Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/mill-basin,40.619877,-73.917023,POINT (-73.917023 40.619877)
Claremont Park,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.814887,-73.962247,POINT (-73.962247 40.814887)
Kolbert Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.620351,-73.958039,POINT (-73.958039 40.620351)
"Bayside Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/bayside,40.760134,-73.768363,POINT (-73.768363 40.760134)
Delphin H. Greene Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.684651,-73.728665,POINT (-73.728665 40.684651)
The Bandshell,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.698876,-73.858494,POINT (-73.858494 40.698876)
Lincoln Road Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.660477,-73.9636,POINT (-73.9636 40.660477)
"Hudson Park Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 am - 6:00 pm   
Wednesday: 10:00 am - 6:00 pm    
Thursday: 10:00 am - 6:00 pm    
Friday: 10:00 am - 6:00 pm  
Saturday: 10:00 am - 5:00 pm",Not Accessible,Single-Stall All Gender Restroom(s),Yes,,https://nypl.org/locations/hudson-park,40.729991,-74.005332,POINT (-74.005332 40.729991)
"Stone Avenue Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Yes,,https://www.bklynlibrary.org/locations/stone-avenue,40.664508,-73.905251,POINT (-73.905251 40.664508)
Electric Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.735772,-73.80542,POINT (-73.80542 40.735772)
The Big Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.630958,-74.165052,POINT (-74.165052 40.630958)
"Huguenot Park Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 am - 6:00 pm  
Wednesday: 10:00 am - 6:00 pm   
Thursday: 10:00 am - 6:00 pm   
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/huguenot-park,40.534087,-74.19323,POINT (-74.19323 40.534087)
Rudd Playground State Park,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.683317,-73.904976,POINT (-73.904976 40.683317)
Richman (Echo) Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.849578,-73.902072,POINT (-73.902072 40.849578)
MacArthur Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.752407,-73.965036,POINT (-73.965036 40.752407)
"Parkchester Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 8:00 pm 
Tuesday: 10:00 pm - 8:00 pm 
Wednesday: 10:00 am - 8:00 pm 
Thursday: 10:00 pm - 8:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/parkchester,40.833789,-73.858351,POINT (-73.858351 40.833789)
Van Cortlandt Stables Area,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.900927,-73.892657,POINT (-73.892657 40.900927)
"Rosedale Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,,https://www.queenslibrary.org/about-us/locations/rosedale,40.659972,-73.739912,POINT (-73.739912 40.659972)
Matthews Muliner Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.846939,-73.861512,POINT (-73.861512 40.846939)
Roy Wilkins Rec Center Zone 2A,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.687662,-73.772534,POINT (-73.772534 40.687662)
"Clarendon Library, BPL",Library,BPL,Closed for Construction,Year Round,,,,,,https://www.bklynlibrary.org/locations/clarendon,40.635748,-73.947636,POINT (-73.947636 40.635748)
Hattie Carthan Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.685617,-73.946383,POINT (-73.946383 40.685617)
Alley Pond Indoor Tennis,Park,NYC Parks Concessionaire,Operational,Year Round,Concession Operating Hours,,,,,,40.739347,-73.735835,POINT (-73.735835 40.739347)
"Woodlawn Heights Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 pm - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 pm - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),No,,https://www.nypl.org/locations/woodlawn-heights,40.900448,-73.867943,POINT (-73.867943 40.900448)
Heckscher Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.695101,-73.91863,POINT (-73.91863 40.695101)
Frawleys' Run,Park,Central Park Conservancy,Operational,Year Round,7:30am - dusk,Fully Accessible,Multi-Stall W/M Restrooms,,,,40.797071,-73.951458,POINT (-73.951458 40.797071)
McCarren Park Zone 1,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,,,,,40.720771,-73.950071,POINT (-73.950071 40.720771)
Susan Smith McKinney Steward Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.700773,-73.985472,POINT (-73.985472 40.700773)
Newport Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.660939,-73.906868,POINT (-73.906868 40.660939)
Brookville Park Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.662186,-73.742205,POINT (-73.742205 40.662186)
Mott Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.831269,-73.914754,POINT (-73.914754 40.831269)
Sheep Meadow,Park,NYC Parks Concessionaire,Operational,Year Round,7:30am - dusk,Fully Accessible,Multi-Stall W/M Restrooms,,,,40.773046,-73.974392,POINT (-73.974392 40.773046)
Caserta Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.837492,-73.853834,POINT (-73.853834 40.837492)
Marc And Jason's Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.66349,-73.949905,POINT (-73.949905 40.66349)
Hunter Island Picnic Area,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.869853,-73.790388,POINT (-73.790388 40.869853)
Pfc Norton Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.614571,-73.944785,POINT (-73.944785 40.614571)
L/CPL Thomas P. Noonan Jr. Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.741077,-73.922385,POINT (-73.922385 40.741077)
"Midwood Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Partially Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/midwood,40.625902,-73.960316,POINT (-73.960316 40.625902)
Bushwick Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.69608,-73.911967,POINT (-73.911967 40.69608)
Wolfe's Pond Park Zone 2,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.516144,-74.189416,POINT (-74.189416 40.516144)
Flushing Meadows Grand Bay,Park,NYC Parks Concessionaire,Operational,Year Round,Concession Operating Hours,,,,,,40.761118,-73.857545,POINT (-73.857545 40.761118)
Washington Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,,,,,40.672998,-73.984618,POINT (-73.984618 40.672998)
East Springfield Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.698689,-73.739928,POINT (-73.739928 40.698689)
Baisley Pond Park Zone 1,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.681399,-73.787225,POINT (-73.787225 40.681399)
180 Maiden Lane POPS,Privately Owned Public Space,"Greenberg Traurig, LLP",Operational,Year Round,Monday to Saturday:  8:30 am-10:00 pm; Sundays: 10:00 am-7:00 pm.,Fully Accessible,Single-Stall All Gender Restroom(s),No,,,40.705277,-74.005516,POINT (-74.005516 40.705277)
Belvedere Castle,Park,Central Park Conservancy,Operational,Year Round,6am - dusk,Fully Accessible,Multi-Stall W/M Restrooms,,,,40.780427,-73.969136,POINT (-73.969136 40.780427)
Randall's Island Stadium Area,Park,NYC Parks,Operational,Year Round,"Fall, spring summer: 7am - 9pm. Winter: 7am - 5:30pm",,,,,,40.792889,-73.924709,POINT (-73.924709 40.792889)
De Matti Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.614748,-74.07392,POINT (-74.07392 40.614748)
Coney Island Beach Zone 7c,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.571763,-73.998785,POINT (-73.998785 40.571763)
Jennifer's Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.620343,-74.163512,POINT (-74.163512 40.620343)
Roebling Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.70611,-73.962367,POINT (-73.962367 40.70611)
Harvey Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.782898,-73.823577,POINT (-73.823577 40.782898)
"Inwood Library, NYPL",Library,NYPL,Closed,Future,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm
Wednesday: 10:00 am - 7:00 pm
Thursday: 10:00 am - 7:00 pm
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,"""Yes, in single-stall all gender restroom only""",,https://www.nypl.org/locations/inwood,40.866961,-73.924338,POINT (-73.924338 40.866961)
Randall Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.819271,-73.849747,POINT (-73.849747 40.819271)
Glenwood Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.636661,-73.920089,POINT (-73.920089 40.636661)
Barretto Point Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.805908,-73.888623,POINT (-73.888623 40.805908)
Beach 59th St. Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.588896,-73.789057,POINT (-73.789057 40.588896)
"Sheepshead Bay Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Partially Accessible,Multi-Stall W/M Restrooms,No,,https://www.bklynlibrary.org/locations/sheepshead-bay,40.587022,-73.955375,POINT (-73.955375 40.587022)
"Hillcrest Library, QPL",Library,QPL,Closed for Construction,Year Round,,,,,,https://www.queenslibrary.org/about-us/locations/hillcrest,40.729263,-73.781921,POINT (-73.781921 40.729263)
Marcus Garvey Park Zone 1,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.804613,-73.944797,POINT (-73.944797 40.804613)
Hoffman Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.732977,-73.871532,POINT (-73.871532 40.732977)
Williamsburg Bridge Bus Depot APT,Public Plaza,NYC DOT/JCDecaux,Not Operational,Year Round,8am-8pm,Fully Accessible,Single-Stall All Gender Restroom(s),No,The unit costs $.25 to use.,https://portal.311.nyc.gov/article/?kanumber=KA-02226,40.70918,-73.959219,POINT (-73.959219 40.70918)
Nelson Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.835032,-73.926583,POINT (-73.926583 40.835032)
Neufeld Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.783442,-73.984781,POINT (-73.984781 40.783442)
"Woodside Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/woodside,40.74535,-73.909795,POINT (-73.909795 40.74535)
"53rd Street Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 11:00 am - 6:00 pm 
Tuesday: 11:00 am - 6:00 pm 
Wednesday: 11:00 am - 6:00 pm 
Thursday: 11:00 am - 6:00 pm 
Friday: 11:00 am - 6:00 pm 
Saturday: 11:00 am - 6:00 pm",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,https://www.nypl.org/locations/53rd-street,40.760815,-73.977365,POINT (-73.977365 40.760815)
"Windsor Terrace Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Partially Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/windsor-terrace,40.648758,-73.97676,POINT (-73.97676 40.648758)
